,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,genre
243,57147,-27859,-51696,-14385,-318,-4049,-19128,-6853,-8518,-1697,-2729,-14169,3261,country
244,54454,3977,-29996,-20577,19573,-14656,-6348,-7992,-11148,22,20514,7270,2960,country
245,60125,-35170,-41010,-13712,-5464,-31940,-19898,-3293,-3179,17094,-6661,2815,-2305,country
246,57452,-9964,-63019,49186,-19563,-37647,-25937,-5990,-10458,-11923,24403,-24485,-14918,country
247,55326,2146,-69963,22046,-19323,-19383,17743,-25478,-11759,3327,-38328,13788,-24635,country
248,54306,-7246,-4813,994,1449,-49796,4725,-24149,-44869,8475,-10740,-2558,5384,country
249,56891,11145,-49810,-13060,-29466,-31295,-27508,-918,-4657,-8090,11473,-8272,-2170,country
250,54991,-3050,-34466,17065,-38005,9267,-33036,24191,-38182,24992,-20083,8093,-15917,country
251,52391,6207,-32880,28933,-13989,15025,-51512,24566,-53860,23058,-27486,238,-22804,country
252,48041,17858,-11128,30255,-31690,9998,-12684,38560,-48952,27639,-5154,9826,-9974,country
253,58424,-24438,-33627,23658,-39958,3970,-52344,16855,-47864,23537,-31057,12753,-29698,country
254,53507,-5571,-12728,42407,-23659,13896,-48700,20934,-55723,7957,-21053,5393,-31525,country
255,57842,-6692,-36143,4513,-35929,7621,-46697,21943,-44997,28145,-23940,13419,-14923,country
256,54133,441,-15338,25456,-29324,9768,-29975,28800,-37039,40727,-20170,1707,-23597,country
257,55811,-1494,-33089,22684,-30140,561,-21881,12225,-54010,23127,-42454,15794,-12322,country
258,57132,-5628,-17327,21976,-50578,-103,-38700,28581,-39142,13507,-11181,14198,-32378,country
259,54468,1512,9281,34003,-35208,-1755,-53659,26298,-34978,6546,-13783,7100,-22152,country
260,53089,6241,-3029,28012,-14537,14733,-38967,36102,-35209,25606,-18909,17402,-16778,country
261,52283,9368,-7770,23626,-31335,8138,-51188,21236,-34182,14736,-16870,17281,-21298,country
262,57787,-19296,-29971,7905,-45144,10755,-47213,29812,-31921,24506,-12898,8947,-26523,country
263,53906,2360,-9685,25611,-35337,6642,-49009,32349,-41440,7435,-11586,16173,-10517,country
264,52060,9163,-32263,6274,-34831,3163,-59766,29049,-33665,472,-18974,19400,-24773,country
265,50716,51783,-30095,20859,-28277,-4211,-14117,-4900,-37628,2319,-41051,16146,-25697,country
266,58147,4723,-76211,-5361,-31811,31485,-21621,25786,-35723,20061,-16007,9170,-18141,country
267,45669,47682,-3635,16586,-18978,1085,-19502,16319,-68762,-1137,-29075,9715,-18178,country
268,50232,34400,-40818,7997,-27631,17017,-16666,28885,-29899,5804,-31284,2568,-22085,country
269,52035,12376,-52577,42980,-13464,3825,-37957,30700,-27266,22694,-26712,18585,-9070,country
270,57773,-4080,-56624,16037,-45066,31392,-31932,14844,-36981,21733,-26079,20934,-15039,country
271,53806,36470,-54202,-900,-32483,-19388,-27415,-3584,-56219,6515,-40323,8644,-36598,country
272,57803,1779,-49532,1368,-59004,-8562,-29273,23163,-50158,14988,-24816,24220,-22831,country
273,53369,5170,-38537,25593,-27144,9778,-35920,3950,-53181,24300,-44910,20750,-23598,country
274,51345,14837,-47395,16297,-29645,11156,-27549,8331,-51044,19339,-21670,29414,-26291,country
275,60337,-22864,-40375,12476,-38808,49094,-23754,13588,-48980,15593,-19651,26192,-22236,country
276,54716,36342,-50409,20813,-39665,-13512,-20242,3641,-37938,2232,-26170,16192,-10926,country
277,57305,17668,-78046,-6671,-43797,-19937,-5665,24834,-42332,25899,-33852,10189,-22132,country
278,45418,32774,-35871,19115,-41228,24436,-6538,19529,-22774,24775,-20832,27880,-7711,country
279,52520,52590,-20564,-6387,-33903,-17539,-41900,2183,-43934,302,-44164,11546,-28312,country
280,57728,-10618,-29357,14301,-20805,16871,-30236,26862,-64361,27265,-40821,20335,-14769,country
281,59068,-16612,-40033,16249,-21033,-2842,-55354,7924,-43090,31946,-24314,15155,-17083,country
282,59505,-23301,-32997,23304,-25135,-1757,-57648,6105,-45615,32171,-34622,13184,-16822,country
283,55023,13974,-39061,18718,-17859,-2699,-50052,12573,-36040,34004,-23438,22044,-2234,country
284,59331,-9968,-46418,28316,-23987,-12436,-59231,-6669,-40807,23787,-29646,16080,-14020,country
285,55890,2472,-43140,21363,-12809,10789,-31381,21174,-34698,31744,-15661,18958,-8346,country
286,56478,-9240,-34260,29936,-13389,-1203,-42763,4698,-39520,27512,-25566,10031,-15921,country
287,54540,3771,-45863,14917,-22340,1392,-41886,2972,-36355,39004,-24878,10344,-17424,country
288,56208,-902,-30532,24277,-17571,4696,-47055,14803,-34498,19094,-20091,22769,-15875,country
289,52151,19249,-30201,10170,-9183,3037,-29907,14546,-40815,34232,-16212,23763,-6142,country
290,58259,-8659,-54443,26388,-16779,-3125,-50291,3879,-38304,34299,-29395,17499,-16615,country
291,52666,5670,-47083,29785,-23088,992,-34175,14413,-37216,24615,-17334,12323,-5350,country
292,60932,-25504,-49391,47265,-35154,908,-64701,-4747,-46753,18433,-19616,14825,-18920,country
293,53236,11091,-45297,26125,-41825,-23194,-49716,9880,-51850,6543,-29906,17232,-6850,country
294,57897,13095,-45646,28115,-7402,9945,-48524,26413,-44025,23613,-18636,14178,-3156,country
295,56655,9438,-48891,26314,-20876,5364,-51175,32848,-56069,14485,-16157,17442,273,country
296,60519,261,-60809,11940,-5337,7310,-40026,23433,-48750,19297,-28872,23929,-2205,country
297,55845,6550,-42589,31543,2251,2393,-44953,27156,-50012,31300,-20595,23178,5921,country
298,56703,13612,-48152,25186,-29338,-1264,-48943,10293,-59244,10705,-20714,25062,-1435,country
299,61070,-19037,-43748,17224,-28304,6737,-38792,21237,-43359,27345,-24219,14978,-13042,country
300,56362,-20633,-4442,-15410,-9815,8862,-14220,-4508,-3866,-17607,-8658,-15199,-8227,disco
301,63511,-55640,-38059,-5580,340,15897,9272,231,-16152,15322,-2813,-4224,-6092,disco
302,61602,-50796,5410,-19668,15825,-9634,-9408,3033,-11174,2326,25171,797,-13737,disco
303,62384,-55734,-18341,31747,10388,26170,-2589,15103,-5187,15893,-10071,9926,-6006,disco
304,59062,-49428,-19530,-33216,-22936,-8543,-3344,-1727,-15939,-4450,8107,-6033,2786,disco
305,63034,-39323,-40342,1012,159,-17757,7577,33375,-22044,16319,8346,-5959,-9747,disco
306,62865,-47629,-46013,13549,-18543,393,17572,5430,-25483,13207,-10970,887,-9393,disco
307,60674,-46748,-29656,11642,-14627,7051,2232,-8274,-12789,1116,-908,1998,445,disco
308,62542,-47268,-58041,5750,-2424,2677,-21261,9501,-17398,1080,-3011,-2947,-3876,disco
309,59776,-44675,-46030,7687,2810,-1096,-34731,3185,-10704,-8526,-19057,-14702,-20,disco
310,63425,-50533,-42447,1322,-1802,11132,-196,15598,-5637,11216,2320,2381,-9483,disco
311,61437,-44809,-2387,-12452,-1022,9492,-1885,31380,-10558,2466,-5969,-25616,-11382,disco
312,60536,-42900,-40446,-5170,7466,3180,-9993,19201,-13407,21607,-272,-3166,712,disco
313,61623,-54044,1077,10868,-14719,-12948,-14702,-2667,-2276,-856,-9608,-18126,-13711,disco
314,62186,-49751,-24039,2315,-5711,-5663,3433,15008,-6686,20065,-9983,-2896,31,disco
315,60227,-14465,-3338,-28378,-17723,-33381,4314,6955,-33387,-10717,10429,-4171,-18,disco
316,61622,-31875,-28450,5319,2470,-13032,-13966,24636,-3804,16403,6377,-51,1151,disco
317,56806,-24607,-22001,-11359,-14129,-30305,-24168,-14429,-26206,-10193,-3510,-5294,-3693,disco
318,59632,-42132,-9907,-40111,-11357,1899,-226,-3816,-29392,19726,2196,8392,1187,disco
319,57711,-7311,-59435,-11579,17844,12618,340,2320,665,17693,1525,-5959,300,disco
320,57706,-11850,-47502,15255,-40806,4701,-30409,2385,-19140,2377,-23652,-103,-4278,disco
321,57375,-39738,15120,-21455,2663,-11375,-7920,2110,-8722,2036,-3854,-4456,-9431,disco
322,60297,-58160,2278,10156,-1277,-24066,2731,-1342,-12572,-8902,-535,-2204,-9707,disco
323,61616,-49740,-13208,-4201,-8265,-19878,-18772,-2936,-22638,2327,-9704,-9506,-1212,disco
324,58734,-28777,-39288,-36801,357,-11109,-2623,10089,-6827,1070,2881,-10249,-7294,disco
325,55083,-20382,-31069,-18150,-18123,-29222,-8819,-10693,-13720,-4083,-12566,-9144,-6205,disco
326,59432,-42520,-9289,-5543,-3204,-7673,-8011,-3280,-8747,6393,-11386,-626,46,disco
327,54818,-44107,8015,17651,26015,6856,1753,887,-218,2630,12726,508,10869,disco
328,62810,-57849,-10949,-18047,14519,-527,-4760,605,-6027,-10770,4124,8887,-14227,disco
329,60119,-41811,-27909,-27574,-4108,-14834,23336,-12527,-17345,1258,-12017,-7982,232,disco
330,60840,-48059,-12125,-4758,10549,1125,-4714,-596,-7009,-11537,3734,-4965,-13012,disco
331,59821,-51132,-33922,-11983,-5188,-6866,1166,-27566,-20968,424,-8144,-9551,-5936,disco
332,56328,-25848,-50400,-28365,-4830,13919,-3835,-11355,-16489,5134,-1365,-4328,-1296,disco
333,60271,-28678,-45538,15243,-15828,-11837,-15788,14277,-6321,19896,5716,13293,-3376,disco
334,60914,-57252,-3275,-19506,-12392,-7952,-13286,-16417,-22190,-163,-19836,-2858,-5137,disco
335,61072,-52518,-7565,-21098,5652,-3414,-1487,4852,-19407,-13580,10391,303,-13821,disco
336,62447,-54567,-15873,-10943,-5019,1142,-1865,5196,-285,12709,-15,-3854,-6109,disco
337,62386,-59859,-16635,-15427,14749,740,-6101,-117,-2973,-12101,4778,9864,-11411,disco
338,59524,-50725,-34829,-20499,-939,-15341,3998,5947,-22793,-19773,-2511,-915,-7319,disco
339,57985,-18965,-49130,2332,-28342,-22251,14068,5951,6550,4470,-2250,-9331,4220,disco
340,58573,-34981,-34730,-747,-30949,9977,14911,-2141,-13499,10782,4303,-1211,4646,disco
341,55803,-232,8435,-7605,-5312,-29470,-19535,-12292,-9699,-12624,6459,-470,4761,disco
342,59051,-25142,-48135,-9589,-21081,-1690,-18171,16562,-10872,1838,1060,-671,-1902,disco
343,60590,-33306,-22571,4041,-8910,-6803,13815,-6563,-9800,16355,19701,-2932,1645,disco
344,58689,-17148,-43590,-28569,-7217,-19476,-11522,-482,-15392,-7538,-512,-7931,-12326,disco
345,57578,-15004,-36228,-13000,-19405,-6631,-8450,-4170,-20181,-16173,-1175,-7050,1234,disco
346,56640,-23310,-41731,2381,-36229,15120,-15186,28019,-42346,39056,-38342,24053,-19852,disco
347,49530,10541,-74150,4295,-44509,-30304,-52161,-3000,-58351,36943,-46987,-89,-8146,disco
348,58730,-37655,-65222,33787,-14628,24749,-35065,51108,-31068,20715,-19848,19653,-18485,disco
349,61127,-28728,-44911,17353,-42325,16130,-29459,13568,-47656,24887,-29201,10216,-29362,disco
350,60396,-28867,-54294,855,-37559,31142,-29167,26564,-32791,32941,-20120,28847,-21773,disco
351,58935,-38853,-57079,8750,-43325,28101,-27954,28727,-30527,33933,-20347,27220,-23094,disco
352,60191,-36681,-71048,2856,-34633,16317,-69101,28854,-45314,19361,-36891,12239,-18318,disco
353,60249,-48621,6810,26248,-16559,56081,-40801,60493,-52390,45180,-34120,35588,-16733,disco
354,51135,-38478,-4547,36490,-5293,-15405,-30076,32444,-47670,20390,-40600,-1121,-21589,disco
355,57517,-20156,-60652,36260,-25207,32602,-24586,36239,-36106,26536,-17097,16290,-14580,disco
356,52157,-3326,-33056,13912,-30768,21506,-44463,28894,-55156,19461,-22486,2043,-19230,disco
357,54042,-8964,-40696,-10185,-57672,12055,-37826,26815,-46948,28381,-27202,14110,-22416,disco
358,56762,-22762,-33358,22280,-26810,18517,-48858,30427,-41632,27362,-23639,12484,-18171,disco
359,56507,-21331,-33149,-13294,-43889,4960,-25307,36558,-38754,31342,-3365,25530,-8548,disco
360,55920,-11535,-44535,22969,-16685,31606,-32392,29954,-46637,19793,-20631,13062,-19069,disco
361,59364,-28751,-18895,104,-43155,5479,-33280,23656,-49622,30505,-32759,24011,-29332,disco
362,57944,-33416,-55695,23884,-26055,46369,-35180,46675,-36405,27861,-16372,12132,-20094,disco
363,60858,-45788,-16181,38182,-3669,44028,-13430,46637,-29864,44832,-12507,37333,-8818,disco
364,53150,-23757,-6524,29930,-14544,47365,-28682,42962,-14258,58452,-15716,16341,-15291,disco
365,57082,-13848,-26165,37679,-14274,55690,-42463,37857,-32152,33192,-12752,22875,-10880,disco
366,60333,-31181,-46008,11172,-34182,23939,-28803,32552,-47091,29836,-32444,17741,-24776,disco
367,57418,-32272,-48602,5324,-49692,2357,-38434,18975,-30622,24341,-32278,17811,-33201,disco
368,58642,-43728,-23019,8579,-21708,11892,-36174,20759,-31673,16984,-37905,23761,-38405,disco
369,55435,-16615,-24032,8546,-51776,22933,-47952,2923,-16198,27146,7,14685,-8972,disco
370,58181,-31436,-49357,5517,-38150,27851,-32154,24461,-34580,30315,-22874,25667,-24648,disco
371,57886,-45434,-32023,7164,-25468,15255,-44512,44505,-30899,35767,-22108,15913,-30809,disco
372,57485,-48411,-57229,16621,-40292,14551,-17295,10774,-29233,38354,-29566,30540,-23643,disco
373,58284,-43672,-44017,3905,-34962,19439,-48696,32053,-45006,28165,-31224,31606,-22366,disco
374,61355,-38505,-44407,89,-41433,13766,-45210,27223,-33737,34857,-32489,14041,-34601,disco
375,58322,-39201,-30617,17899,-35921,37944,-34785,39297,-26641,33547,-32427,12371,-19910,disco
376,57985,-21907,-58253,-8754,-49524,-11797,-51421,27480,-43358,37133,-41546,11521,-28211,disco
377,60790,-25587,-41757,20309,-14916,28695,-61151,38648,-9712,15962,-41707,14089,-7796,disco
378,52698,-17646,-32673,-2462,-34355,1618,-37496,33060,-47596,35154,-36742,16334,-28857,disco
379,53872,-26192,-25175,20090,-28593,22876,-32647,50726,-38486,36912,-13116,8052,-24245,disco
380,50808,-25056,48,35512,-24344,-1771,-52687,38871,-53769,14613,-42487,8700,-28092,disco
381,52859,-25008,-44236,20006,-13473,3417,-30516,20077,-51102,9488,-38164,22597,-18656,disco
382,60171,-27695,-35164,762,-45188,28615,-51385,40637,-28542,21835,-23482,16062,-17182,disco
383,53260,-14404,-15421,9411,-27441,24483,-37298,21967,-41658,16142,-31950,17327,-27810,disco
384,51885,-36386,-63187,31356,-23329,23797,-32753,10889,-41155,29930,-21883,34487,-3002,disco
385,54816,-55296,4813,12635,-25066,29308,-44267,48043,-33917,34020,-15961,28983,-19662,disco
386,58390,-2594,-54607,27510,-34539,26990,-16821,-840,-37615,25865,-45744,9775,-16590,disco
387,57211,-16193,-41602,5151,-27122,21368,-41361,25221,-58133,28322,-35714,15276,-21616,disco
388,58280,-23413,-71662,27462,-32564,24267,-34259,24461,-25278,38394,-14016,20938,-20535,disco
389,56449,-16090,-51998,16489,-24027,22106,-30614,27416,-43548,20540,-25121,12088,-20995,disco
390,55938,-37455,-38450,14316,-26655,30043,-49787,29109,-38133,22970,-16406,22369,-16951,disco
391,57048,-14792,-47634,34460,-4970,44200,-15858,18519,-34252,25368,-21726,24734,-11222,disco
392,56937,-31082,-20663,26737,-37963,21036,-23710,24858,-40830,33524,-28478,12508,-19958,disco
393,59509,-31424,-46677,27974,-5840,298,-19571,27861,-54319,2922,-54252,12064,-21135,disco
394,55746,-25661,-21152,40745,-41580,36556,-45688,34551,-24896,22521,-38775,10213,-10818,disco
395,55599,-32167,-42041,37578,-8141,16358,-18844,36979,-9775,39987,-43280,14770,-13721,disco
396,56688,-28599,-50764,47940,-55634,26451,-41487,32075,-28326,37057,-24963,26253,-2881,disco
397,57191,-43370,-18021,11442,-8888,36480,-21437,23078,-22979,12949,-19691,20772,-19530,disco
398,57544,-26141,-20587,10115,-40071,5696,-44786,22183,-51977,35088,-22989,34711,-28050,disco
399,57544,-26141,-20587,10115,-40071,5696,-44786,22183,-51977,35088,-22989,34711,-28050,disco
400,58654,-39789,-47595,1240,-41868,14949,-45243,26966,-35130,30098,-22010,13513,-23604,hiphop
401,61762,-49230,-22553,54405,14549,36502,-19080,66615,-13969,40067,4839,23071,4517,hiphop
402,51212,3847,1558,28203,-41015,3173,-50153,27351,-45551,25033,-23621,16951,-9359,hiphop
403,61630,-32858,-44338,22135,-26467,29262,-22582,57013,-10907,34059,-7702,26676,-19101,hiphop
404,56666,-29043,-22734,22192,-13380,45594,-25939,31576,-29500,36999,-12762,28747,-7859,hiphop
405,63269,-43782,-22086,37638,-32896,35324,-47641,30144,-23288,29221,-15417,27870,-8784,hiphop
406,61329,-49648,-5523,29402,-7918,32530,-39262,31685,-14776,31673,-21374,19026,-16960,hiphop
407,59750,-16431,-28010,20717,-30699,-4439,-46572,45374,-23705,47375,-3833,27877,-14391,hiphop
408,59460,-53790,-34478,34303,-53519,16142,-43050,17959,-36660,42274,-18922,25628,-11222,hiphop
409,57720,-28505,-18147,43463,-25828,41582,-27498,37839,-31329,35839,-15317,23258,-16891,hiphop
410,59580,-29061,-60796,13466,-29591,58074,-22378,24208,-27752,35287,-15144,14011,-28050,hiphop
411,58919,-21505,-25049,28792,-19440,12857,-35123,29309,-31344,32634,-35774,7115,-38920,hiphop
412,59366,-13050,-40359,16088,-48313,9243,-29210,34895,-20136,40825,-13199,35072,-27538,hiphop
413,57743,10704,-64856,-159,-31321,-6947,-34896,27254,-18362,104,-34353,3479,-19509,hiphop
414,61423,-31076,-54984,63572,-25847,12646,-43223,31819,-36771,4780,-38344,11602,-20989,hiphop
415,58314,-30083,-36228,10042,-37223,31701,-51407,24401,-35096,20722,-17573,32190,-18875,hiphop
416,59163,-34568,-38857,41437,-28876,18774,-15404,46007,-18275,21226,-16018,22984,-29186,hiphop
417,58397,-27519,-16867,38377,-24912,34306,-24760,22001,-38776,35348,-27148,20347,-27111,hiphop
418,58329,-46457,-28034,42030,-21895,11930,-39166,21062,-29269,22100,-30200,25679,-33439,hiphop
419,59721,-26582,-35032,30038,-20615,27941,-28506,30922,-26241,24058,-25438,9173,-30471,hiphop
420,59487,-45221,-50688,61398,-22065,34103,-27089,36861,-17954,49161,-5619,30773,-5706,hiphop
421,62167,-31199,-38920,22736,-34714,7355,-47566,33139,-28416,21346,-21826,22449,-16094,hiphop
422,56871,-13767,-10346,17166,-41824,10212,-42792,19192,-29784,40267,-14920,33812,-24475,hiphop
423,60560,-20935,-46176,28562,-32013,19390,-37960,24183,-45742,5400,-24710,26663,-25384,hiphop
424,60536,-32485,-66859,20493,-39230,17617,-32133,24930,-37199,30954,-9015,20240,-24677,hiphop
425,61234,-31647,-41350,28977,-31300,36462,-17454,41899,-33019,24785,-13601,27970,-24974,hiphop
426,60856,-69277,6173,37334,6205,-10379,-13923,8703,-3129,1445,-15188,9896,636,hiphop
427,57275,-34556,-9503,256,-13279,-548,-25614,6681,-2881,11308,12177,8066,5485,hiphop
428,59283,-38533,-12712,9250,7994,-19388,-8246,1405,-27332,-280,-8131,-283,4889,hiphop
429,60416,-51009,-6345,4387,-2128,-4821,355,6242,-4908,8367,-1490,8559,3055,hiphop
430,63616,-69291,22274,16644,-3794,28204,3766,4556,-7391,958,-314,2195,-7228,hiphop
431,62054,-49349,-20570,-10207,-2137,-15342,29943,1050,-2141,16175,1689,1027,-477,hiphop
432,53772,-23086,-14907,2290,23382,17022,-3960,26551,-461,7898,13383,5642,-6023,hiphop
433,62743,-51711,-20082,17087,12074,2553,-19621,20104,3619,11263,-127,-347,-2240,hiphop
434,64871,-61199,-32599,5820,-13885,8377,-2017,4144,9128,17798,4674,11162,-1134,hiphop
435,58508,-47479,1546,6956,9528,3455,-9622,32311,-15,23124,-2097,1225,8207,hiphop
436,49099,-50184,-38931,24022,7229,10064,-584,9280,5698,28943,20909,12743,5546,hiphop
437,60245,-63591,-17021,-9160,-29447,-30768,-7277,-18930,-13372,504,1932,-3045,-4207,hiphop
438,48934,-28311,-39882,1662,-5570,-14879,-2183,18606,-9091,1758,-374,-580,2625,hiphop
439,58652,-30273,16656,-19870,-20640,-16970,2043,-9768,-5441,1950,-399,-3083,-673,hiphop
440,55545,-14329,23232,-25090,-22140,-48910,-444,-20049,-8203,34504,9860,14861,8383,hiphop
441,60186,-41707,-21431,14159,-7837,-10969,-703,-1457,12038,12896,8554,-1224,-2268,hiphop
442,61804,-51685,-10321,27563,14603,10280,14738,29389,7191,23649,31821,4461,9501,hiphop
443,54635,-385,-23114,-8912,769,-8849,4085,17869,24040,19740,10428,5360,15343,hiphop
444,49941,-24962,-41561,-5590,-6567,-36066,5853,-11430,-35204,22987,8924,-22246,765,hiphop
445,58652,-30273,16656,-19870,-20640,-16970,2043,-9768,-5441,1950,-399,-3083,-673,hiphop
446,58049,-25377,-8185,945,768,949,-16760,6609,3448,-1060,-194,11442,1059,hiphop
447,60265,-50195,29603,12000,7295,27,-4330,1576,9466,-3460,5159,18201,297,hiphop
448,57926,-33824,13758,46100,4200,13360,-10825,-1152,-11717,-6469,-15799,-9995,-19121,hiphop
449,62616,-59845,15765,51797,7762,3189,3299,6630,13775,3286,882,1993,8826,hiphop
450,56599,-2982,7271,23189,38265,-23468,15300,-11110,21314,-17940,18102,2281,-6389,hiphop
451,59650,-34293,4611,45010,-8895,11118,-9962,4936,-3136,4656,-7391,1070,-10907,hiphop
452,54343,-33369,17672,2875,-11044,2948,3478,6634,1117,4595,4276,1416,5621,hiphop
453,55876,-45015,25479,28,-8505,-7287,15626,10944,-100,9392,13526,4310,7948,hiphop
454,57951,-47903,17492,-17490,920,1774,4749,-6191,6006,2341,4232,-262,-1512,hiphop
455,54272,-5940,-39996,21294,8539,2568,6403,10501,2991,1907,-13721,-7088,-14260,hiphop
456,57365,-36751,-17527,41875,-61,38261,8447,34200,8652,28731,280,6571,1496,hiphop
457,56419,-22726,-13492,52277,30296,25167,19690,18131,1461,3014,4865,795,-10620,hiphop
458,57427,-45278,-32604,37118,603,28923,8303,13155,-12752,-539,-8947,-12067,-8440,hiphop
459,55271,-19871,-18034,45507,14715,11286,17998,15187,6461,18423,-4656,-945,-12620,hiphop
460,55149,-15450,-32314,65474,14263,20469,28233,27252,8484,20549,6563,2438,-5088,hiphop
461,55682,-17854,-32364,18751,19557,36176,1185,1703,7975,5277,14761,332,-864,hiphop
462,55701,-30544,-7358,6263,9921,4312,0,-3312,-9645,-10432,1706,14107,-3386,hiphop
463,58099,-34266,-29076,17115,-5721,-17949,-33637,-19480,-6763,-3098,12152,5064,1965,hiphop
464,58855,-33166,906,44729,-10758,-1251,-22827,-5814,-6097,-11577,-11985,3180,-10010,hiphop
465,55758,-28552,39974,19645,2476,-4392,-11574,2771,-2513,-14600,-3025,12739,-11745,hiphop
466,56244,-21836,-3072,17403,-25825,-16480,-3686,18436,-2393,1988,-5614,919,-7552,hiphop
467,59469,-47795,-5650,-2142,8747,-8387,-9697,1613,8311,1921,7402,12013,7596,hiphop
468,59187,-37619,6153,31525,-3424,5563,-17666,-4517,-3423,-7499,-14174,-6336,-12898,hiphop
469,62355,-63250,29409,52575,392,2449,5810,-1249,-630,1015,6063,10022,4823,hiphop
470,59294,-29716,50838,13554,1659,10290,1465,-2980,-8238,-7596,-1511,4776,-2706,hiphop
471,60655,-52536,40898,24372,24058,-8943,130,11582,-15238,2737,13940,1147,-6144,hiphop
472,56497,-8769,6822,24205,33368,-12910,17083,-18172,16134,-12537,17123,16093,-15092,hiphop
473,59399,-35338,37401,30589,626,-6760,-19674,-17482,-4248,-5906,85,-4158,-11358,hiphop
474,60047,-47717,10615,51517,-21982,-49,-27413,19140,-6450,16167,-7725,-900,-12343,hiphop
475,59162,-50365,4521,15650,-9986,-12174,-13016,-5854,14770,6511,-9384,-3957,2393,hiphop
476,57114,-19741,-10054,-12744,3135,-42674,-5934,-4569,-8153,10074,3157,102,7578,hiphop
477,61974,-42212,-5531,-3113,-20025,-21860,-630,-17938,-1985,-3011,-2360,6660,2440,hiphop
478,57114,-19741,-10054,-12744,3135,-42674,-5934,-4569,-8153,10074,3157,102,7578,hiphop
479,59765,-44073,-23849,-6120,10434,-53235,-8779,-2729,-12098,990,-5687,1378,12951,hiphop
480,60625,-53326,-9118,11597,-5,-22912,-11874,-2811,-5387,-5870,4352,-16711,9725,hiphop
481,49451,-1421,-13756,26670,-6603,37613,-35500,38659,-39361,35633,-24456,31232,-24880,hiphop
482,55808,-29249,-50605,26860,-42897,28093,-31633,31204,-6673,34949,-22904,37762,-10327,hiphop
483,56463,-32222,-44833,12663,-18356,28714,-40562,31251,-25582,39561,-27027,40608,-23090,hiphop
484,50913,-20578,-55235,40937,-28293,7250,-57023,20902,-31993,34117,-11092,22117,2355,hiphop
485,57304,-42322,-36063,28698,-37285,26832,-50856,26875,-35521,45559,-15311,38881,-4200,hiphop
486,51873,-25652,-36917,21146,-7944,59327,-16651,60183,1892,31534,-23684,32952,-8212,hiphop
487,53567,-46225,-16036,55605,-13668,34990,-1613,61541,-18450,27170,-11613,31143,-10838,hiphop
488,59116,-43463,-44742,19997,-23331,32955,-51750,33691,-24634,35402,-35628,23557,-21927,hiphop
489,58034,-43821,-45149,32009,-21297,33850,-36870,20300,-14865,55168,1700,32331,-3059,hiphop
490,56449,-31236,-39067,5009,-14093,30389,-35820,32892,-20006,45856,-25155,26588,-10701,hiphop
491,58112,-45406,-44497,44499,-16357,33368,-38632,43965,-17950,45482,-19569,25797,-19843,hiphop
